X,CH1,CH2,
Second,Volt,Volt,
-5.31385e-01,1.74e-01,5.97e-01,
-5.31239e-01,1.74e-01,5.97e-01,
-5.31092e-01,1.74e-01,5.97e-01,
-5.30946e-01,1.74e-01,5.97e-01,
-5.30799e-01,1.72e-01,5.97e-01,
-5.30653e-01,1.74e-01,5.97e-01,
-5.30506e-01,1.76e-01,5.97e-01,
-5.30360e-01,1.72e-01,5.97e-01,
-5.30213e-01,1.74e-01,5.97e-01,
-5.30067e-01,1.74e-01,5.97e-01,
-5.29920e-01,1.74e-01,5.97e-01,
-5.29774e-01,1.74e-01,5.97e-01,
-5.29628e-01,1.74e-01,5.97e-01,
-5.29481e-01,1.74e-01,5.97e-01,
-5.29335e-01,1.74e-01,5.97e-01,
-5.29188e-01,1.74e-01,5.97e-01,
-5.29042e-01,1.66e-01,5.97e-01,
-5.28895e-01,1.74e-01,5.97e-01,
-5.28749e-01,1.72e-01,5.97e-01,
-5.28602e-01,1.72e-01,5.97e-01,
-5.28456e-01,1.72e-01,5.97e-01,
-5.28309e-01,1.74e-01,5.97e-01,
-5.28163e-01,1.74e-01,5.97e-01,
-5.28016e-01,1.74e-01,5.97e-01,
-5.27870e-01,1.72e-01,5.97e-01,
-5.27723e-01,1.74e-01,5.97e-01,
-5.27577e-01,1.74e-01,5.97e-01,
-5.27430e-01,1.72e-01,5.97e-01,
-5.27284e-01,1.72e-01,5.97e-01,
-5.27137e-01,1.72e-01,5.97e-01,
-5.26991e-01,1.74e-01,5.97e-01,
-5.26844e-01,1.68e-01,5.97e-01,
-5.26698e-01,1.74e-01,5.97e-01,
-5.26551e-01,1.70e-01,5.97e-01,
-5.26405e-01,1.72e-01,5.97e-01,
-5.26258e-01,1.72e-01,5.97e-01,
-5.26112e-01,1.68e-01,5.97e-01,
-5.25965e-01,1.74e-01,5.97e-01,
-5.25819e-01,1.70e-01,5.97e-01,
-5.25672e-01,1.70e-01,5.97e-01,
-5.25526e-01,1.74e-01,5.97e-01,
-5.25379e-01,1.70e-01,5.97e-01,
-5.25233e-01,1.66e-01,5.97e-01,
-5.25086e-01,1.72e-01,5.97e-01,
-5.24940e-01,1.72e-01,5.97e-01,
-5.24794e-01,1.70e-01,5.97e-01,
-5.24647e-01,1.72e-01,5.97e-01,
-5.24501e-01,1.72e-01,5.97e-01,
-5.24354e-01,1.72e-01,5.97e-01,
-5.24208e-01,1.72e-01,5.97e-01,
-5.24061e-01,1.72e-01,5.97e-01,
-5.23915e-01,1.72e-01,5.97e-01,
-5.23768e-01,1.76e-01,5.97e-01,
-5.23622e-01,1.72e-01,5.97e-01,
-5.23475e-01,1.74e-01,5.97e-01,
-5.23329e-01,1.72e-01,5.97e-01,
-5.23182e-01,1.74e-01,5.97e-01,
-5.23036e-01,1.74e-01,5.97e-01,
-5.22889e-01,1.78e-01,5.97e-01,
-5.22743e-01,1.72e-01,5.97e-01,
-5.22596e-01,1.74e-01,5.97e-01,
-5.22450e-01,1.74e-01,5.97e-01,
-5.22303e-01,1.72e-01,5.97e-01,
-5.22157e-01,1.74e-01,5.97e-01,
-5.22010e-01,1.74e-01,5.97e-01,
-5.21864e-01,1.74e-01,5.97e-01,
-5.21717e-01,1.74e-01,5.97e-01,
-5.21571e-01,1.70e-01,5.97e-01,
-5.21424e-01,1.76e-01,5.97e-01,
-5.21278e-01,1.72e-01,5.97e-01,
-5.21131e-01,1.74e-01,5.97e-01,
-5.20985e-01,1.74e-01,5.97e-01,
-5.20838e-01,1.98e-01,5.97e-01,
-5.20692e-01,1.74e-01,5.97e-01,
-5.20545e-01,1.74e-01,5.97e-01,
-5.20399e-01,1.74e-01,5.97e-01,
-5.20253e-01,1.74e-01,5.97e-01,
-5.20106e-01,1.74e-01,5.97e-01,
-5.19960e-01,1.74e-01,5.97e-01,
-5.19813e-01,1.74e-01,5.97e-01,
-5.19667e-01,1.74e-01,5.97e-01,
-5.19520e-01,1.74e-01,5.97e-01,
-5.19374e-01,1.76e-01,5.97e-01,
-5.19227e-01,1.74e-01,5.97e-01,
-5.19081e-01,1.74e-01,5.97e-01,
-5.18934e-01,1.74e-01,5.97e-01,
-5.18788e-01,1.72e-01,5.97e-01,
-5.18641e-01,1.74e-01,5.97e-01,
-5.18495e-01,1.76e-01,5.97e-01,
-5.18348e-01,1.78e-01,5.97e-01,
-5.18202e-01,1.74e-01,5.97e-01,
-5.18055e-01,1.74e-01,5.97e-01,
-5.17909e-01,1.74e-01,5.97e-01,
-5.17762e-01,1.74e-01,5.97e-01,
-5.17616e-01,1.74e-01,5.97e-01,
-5.17469e-01,1.74e-01,5.97e-01,
-5.17323e-01,1.72e-01,5.97e-01,
-5.17176e-01,1.74e-01,5.97e-01,
-5.17030e-01,1.74e-01,5.97e-01,
-5.16883e-01,1.74e-01,5.97e-01,
-5.16737e-01,1.74e-01,5.97e-01,
-5.16590e-01,1.74e-01,5.97e-01,
-5.16444e-01,1.74e-01,5.97e-01,
-5.16297e-01,1.68e-01,5.97e-01,
-5.16151e-01,1.74e-01,5.97e-01,
-5.16004e-01,1.74e-01,5.97e-01,
-5.15858e-01,1.74e-01,5.97e-01,
-5.15711e-01,1.76e-01,5.97e-01,
-5.15565e-01,1.74e-01,5.97e-01,
-5.15419e-01,1.74e-01,5.97e-01,
-5.15272e-01,1.74e-01,5.97e-01,
